identifier,ea7b1d79-881a-4bf5-9f64-7e89398c2838,
sender,weather@cwb.gov.tw,
sent,2014-09-12T11:35:45+08:00,
status,Actual,
msgType,Issue,
dataid,CWB_B0025,
scope,Public,
locationName,"BANQIAO,?øÊ?",
stationId,466880,
elementName,ÊØèÊó•?®È?,
dataTime,2007/1/1,
value,0,
dataTime,2007/1/2,
value,0,
dataTime,2007/1/3,
value,30,
dataTime,2007/1/4,
value,4.5,
dataTime,2007/1/6,
value,1.1,
dataTime,2007/1/7,
value,0,
dataTime,2007/1/8,
value,0,
dataTime,2007/1/9,
value,0,
dataTime,2007/1/10,
value,0,
dataTime,2007/1/11,
value,0,
dataTime,2007/1/12,
value,0.3,
dataTime,2007/1/15,
value,0,
dataTime,2007/1/16,
value,0,
dataTime,2007/1/17,
value,36,
dataTime,2007/1/18,
value,9.4,
dataTime,2007/1/19,
value,17,
dataTime,2007/1/21,
value,8.9,
dataTime,2007/1/22,
value,0.9,
dataTime,2007/1/23,
value,0.5,
dataTime,2007/1/25,
value,0,
dataTime,2007/1/27,
value,0,
dataTime,2007/1/28,
value,0,
dataTime,2007/1/29,
value,0,
dataTime,2007/1/30,
value,0,
dataTime,2007/1/31,
value,0,
parameterName,total,
parameterValue,108.6,
dataTime,2007/2/1,
value,0,
dataTime,2007/2/2,
value,0,
dataTime,2007/2/3,
value,0,
dataTime,2007/2/4,
value,0,
dataTime,2007/2/5,
value,0,
dataTime,2007/2/6,
value,0,
dataTime,2007/2/7,
value,0,
dataTime,2007/2/8,
value,0,
dataTime,2007/2/9,
value,0,
dataTime,2007/2/11,
value,0.5,
dataTime,2007/2/12,
value,0,
dataTime,2007/2/13,
value,0,
dataTime,2007/2/14,
value,0,
dataTime,2007/2/15,
value,0,
dataTime,2007/2/16,
value,0,
dataTime,2007/2/17,
value,0.5,
dataTime,2007/2/18,
value,5.5,
dataTime,2007/2/20,
value,22,
dataTime,2007/2/21,
value,6.6,
dataTime,2007/2/22,
value,2,
dataTime,2007/2/23,
value,0.1,
dataTime,2007/2/24,
value,3.5,
dataTime,2007/2/25,
value,29.4,
dataTime,2007/2/26,
value,0,
dataTime,2007/2/27,
value,0,
dataTime,2007/2/28,
value,0.3,
parameterName,total,
parameterValue,70.4,
dataTime,2007/3/1,
value,0.2,
dataTime,2007/3/2,
value,0.5,
dataTime,2007/3/3,
value,0,
dataTime,2007/3/4,
value,46,
dataTime,2007/3/5,
value,47.4,
dataTime,2007/3/6,
value,18.5,
dataTime,2007/3/7,
value,22,
dataTime,2007/3/8,
value,25,
dataTime,2007/3/9,
value,20.5,
dataTime,2007/3/10,
value,0,
dataTime,2007/3/11,
value,10.5,
dataTime,2007/3/12,
value,0.5,
dataTime,2007/3/13,
value,6.3,
dataTime,2007/3/14,
value,0,
dataTime,2007/3/15,
value,0,
dataTime,2007/3/16,
value,2.9,
dataTime,2007/3/17,
value,0,
dataTime,2007/3/18,
value,1.5,
dataTime,2007/3/19,
